MovieTitle,Year,Genre,Knock off from,color,text color,placeholder Img
Janis the Little Piglet,1996,family,Babe,f645c9,9919c8,http://via.placeholder.com/150/f645c99919c8?text=Janis the Little Piglet
What's Up,2009,family,Up,c401a1,5a07de,http://via.placeholder.com/150/c401a15a07de?text=What's Up
Tappy Toes,2011,family,Happy Feet,ddff69,8dab62,http://via.placeholder.com/150/ddff698dab62?text=Tappy Toes
Trollz,2016,family,,0f70cb,f076e0,http://via.placeholder.com/150/0f70cbf076e0?text=Trollz
Kiara the Brave,2011,family; adventure,Brave,26edd5,4fc489,http://via.placeholder.com/150/26edd54fc489?text=Kiara the Brave
Ratatoing,2007,family,ratatouille,e58aab,409d72,http://via.placeholder.com/150/e58aab409d72?text=Ratatoing
Chock Kick Panda,2011,family; action,Kung-Fu Panda,19886d,4fcd44,http://via.placeholder.com/150/19886d4fcd44?text=Chock Kick Panda
The Little Panda Fighter,2008,family,Kung-Fu Panda,06c141,133b48,http://via.placeholder.com/150/06c141133b48?text=The Little Panda Fighter
Car's Life 2,2011,family,Cars 2,f62435,ca7c24,http://via.placeholder.com/150/f62435ca7c24?text=Car's Life 2
Spider's Web: A Pig's Tale,2006,family,charlotte's Web,c4b5b3,13edcd,http://via.placeholder.com/150/c4b5b313edcd?text=Spider's Web: A Pig's Tale
The Toys Room,1996,family,Toy Story,cb1183,9014b0,http://via.placeholder.com/150/cb11839014b0?text=The Toys Room
The Day the Earth Stopped,2008,action; sci-fi,The Day the Earth Stood Still,375b0a,473477,http://via.placeholder.com/150/375b0a473477?text=The Day the Earth Stopped
Triassic World,2018,action; sci-fi; thriller,Jurassic World,39c0bc,1765cc,http://via.placeholder.com/150/39c0bc1765cc?text=Triassic World
Sunday School Musical,2008,family; musical,High School Musical,86204c,6e2a38,http://via.placeholder.com/150/86204c6e2a38?text=Sunday School Musical
"Hansel & Gretel,",2013,action;thriller,Hansel & Gretel: Witch Hunters,17db7a,799fd2,"http://via.placeholder.com/150/17db7a799fd2?text=Hansel & Gretel,"
The Thief and the Cobbler,1993,family,Aladdin,a0793d,82bfb7,http://via.placeholder.com/150/a0793d82bfb7?text=The Thief and the Cobbler
Tangled Up,2011,family,Tangled,c9d721,02b04e,http://via.placeholder.com/150/c9d72102b04e?text=Tangled Up
Battle of Los Angeles,2011,Action; thriller,Battle: LA,d0a312,394c8c,http://via.placeholder.com/150/d0a312394c8c?text=Battle of Los Angeles
The Starving Games,2013,action,The Hunger Games,bae2aa,412f44,http://via.placeholder.com/150/bae2aa412f44?text=The Starving Games
Atlantic Rim,2013,action; Sci-fi,Pacific Rim,59542c,0c8dfe,http://via.placeholder.com/150/59542c0c8dfe?text=Atlantic Rim
Almighty Thor,2011,action,Thor,de28bc,251bba,http://via.placeholder.com/150/de28bc251bba?text=Almighty Thor
Transmorphers,2007,action,Transformers,89a316,760569,http://via.placeholder.com/150/89a316760569?text=Transmorphers
snakes on the train,2006,action,snake on a plane,4c674a,f4694b,http://via.placeholder.com/150/4c674af4694b?text=snakes on the train
Metal Man,2008,Action,Iron Man,e351fc,f7527c,http://via.placeholder.com/150/e351fcf7527c?text=Metal Man
Aliens vs. Avatars,2011,Sci-fi,Avatar,f645c9,9919c8,http://via.placeholder.com/150/f645c99919c8?text=Aliens vs. Avatars
Alien Origin,2012,Sci Fi; Horror,Prometheus,c401a1,5a07de,http://via.placeholder.com/150/c401a15a07de?text=Alien Origin
Pirates of Treasure Island,2006,action; comedy,pirates of the carrabean,ddff69,8dab62,http://via.placeholder.com/150/ddff698dab62?text=Pirates of Treasure Island
Android Cop,2014,action,RoboCop,0f70cb,f076e0,http://via.placeholder.com/150/0f70cbf076e0?text=Android Cop
Apocalypse Z,2013,action,World War Z,26edd5,4fc489,http://via.placeholder.com/150/26edd54fc489?text=Apocalypse Z
The Legend of Sarila,2013,family,Frozen,e58aab,409d72,http://via.placeholder.com/150/e58aab409d72?text=The Legend of Sarila
